Episode,Reward
0-99,-31.2020202020202
100-199,-22.95959595959596
200-299,-15.232323232323232
300-399,-11.686868686868687
400-499,-8.97979797979798
500-599,-8.383838383838384
600-699,-7.424242424242424
700-799,-6.333333333333333
800-899,-5.858585858585859
900-999,-5.858585858585859
1000-1099,-5.202020202020202
1100-1199,-4.696969696969697
1200-1299,-4.414141414141414
1300-1399,-4.737373737373737
1400-1499,-4.040404040404041
1500-1599,-4.222222222222222
1600-1699,-4.02020202020202
1700-1799,-3.8686868686868685
1800-1899,-3.8383838383838382
1900-1999,-3.6262626262626263
2000-2099,-3.5555555555555554
2100-2199,-3.6363636363636362
2200-2299,-3.4242424242424243
2300-2399,-3.3737373737373737
2400-2499,-3.272727272727273
2500-2599,-3.414141414141414
2600-2699,-3.2222222222222223
2700-2799,-3.1818181818181817
2800-2899,-3.202020202020202
2900-2999,-3.191919191919192
3000-3099,-3.1414141414141414
3100-3199,-3.242424242424242
3200-3299,-3.2323232323232323
3300-3399,-3.121212121212121
3400-3499,-3.080808080808081
3500-3599,-3.1313131313131315
3600-3699,-3.121212121212121
3700-3799,-3.0606060606060606
3800-3899,-3.04040404040404
3900-3999,-3.0606060606060606
4000-4099,-3.04040404040404
4100-4199,-3.0202020202020203
4200-4299,-3.121212121212121
4300-4399,-3.0303030303030303
4400-4499,-3.0606060606060606
4500-4599,-3.01010101010101
4600-4699,-3.0202020202020203
4700-4799,-3.04040404040404
4800-4899,-3.0
4900-4999,-3.01010101010101
5000-5099,-3.04040404040404
5100-5199,-3.0303030303030303
5200-5299,-3.0303030303030303
5300-5399,-3.0606060606060606
5400-5499,-3.0202020202020203
5500-5599,-3.0606060606060606
5600-5699,-3.04040404040404
5700-5799,-3.0303030303030303
5800-5899,-3.0303030303030303
5900-5999,-3.04040404040404
6000-6099,-3.0303030303030303
6100-6199,-3.080808080808081
6200-6299,-3.0
6300-6399,-3.0707070707070705
6400-6499,-3.0303030303030303
6500-6599,-3.04040404040404
6600-6699,-3.0707070707070705
6700-6799,-3.0303030303030303
6800-6899,-3.080808080808081
6900-6999,-3.0505050505050506
7000-7099,-3.0202020202020203
7100-7199,-3.0606060606060606
7200-7299,-3.0202020202020203
7300-7399,-3.0505050505050506
7400-7499,-3.0202020202020203
7500-7599,-3.0202020202020203
7600-7699,-3.0303030303030303
7700-7799,-3.0707070707070705
7800-7899,-3.0505050505050506
7900-7999,-3.0505050505050506
8000-8099,-3.0606060606060606
8100-8199,-3.080808080808081
8200-8299,-3.0
8300-8399,-3.0606060606060606
8400-8499,-3.01010101010101
8500-8599,-3.01010101010101
8600-8699,-3.0
8700-8799,-3.04040404040404
8800-8899,-3.01010101010101
8900-8999,-3.0505050505050506
9000-9099,-3.0707070707070705
9100-9199,-3.04040404040404
9200-9299,-3.0707070707070705
9300-9399,-3.0303030303030303
9400-9499,-3.0303030303030303
9500-9599,-3.0303030303030303
9600-9699,-3.01010101010101
9700-9799,-3.04040404040404
9800-9899,-3.04040404040404
9900-9999,-3.01010101010101
