Episode,Reward
0-99,-30.494949494949495
100-199,-20.98989898989899
200-299,-14.707070707070708
300-399,-12.070707070707071
400-499,-9.454545454545455
500-599,-8.565656565656566
600-699,-7.373737373737374
700-799,-6.565656565656566
800-899,-6.111111111111111
900-999,-5.424242424242424
1000-1099,-4.858585858585859
1100-1199,-4.646464646464646
1200-1299,-4.303030303030303
1300-1399,-4.383838383838384
1400-1499,-4.141414141414141
1500-1599,-4.0
1600-1699,-3.7474747474747474
1700-1799,-3.9393939393939394
1800-1899,-3.757575757575758
1900-1999,-3.494949494949495
2000-2099,-3.5656565656565657
2100-2199,-3.474747474747475
2200-2299,-3.4343434343434343
2300-2399,-3.4444444444444446
2400-2499,-3.474747474747475
2500-2599,-3.212121212121212
2600-2699,-3.1515151515151514
2700-2799,-3.313131313131313
2800-2899,-3.1313131313131315
2900-2999,-3.4242424242424243
3000-3099,-3.282828282828283
3100-3199,-3.1717171717171717
3200-3299,-3.080808080808081
3300-3399,-3.1313131313131315
3400-3499,-3.0505050505050506
3500-3599,-3.111111111111111
3600-3699,-3.090909090909091
3700-3799,-3.111111111111111
3800-3899,-3.04040404040404
3900-3999,-3.0707070707070705
4000-4099,-3.0606060606060606
4100-4199,-3.0505050505050506
4200-4299,-3.1616161616161618
4300-4399,-3.01010101010101
4400-4499,-3.0202020202020203
4500-4599,-3.0303030303030303
4600-4699,-3.0202020202020203
4700-4799,-3.0
4800-4899,-3.0202020202020203
4900-4999,-3.0303030303030303
5000-5099,-3.0303030303030303
5100-5199,-3.0505050505050506
5200-5299,-3.01010101010101
5300-5399,-3.080808080808081
5400-5499,-3.0
5500-5599,-3.101010101010101
5600-5699,-3.0707070707070705
5700-5799,-3.0505050505050506
5800-5899,-3.0606060606060606
5900-5999,-3.0505050505050506
6000-6099,-3.0
6100-6199,-3.0606060606060606
6200-6299,-3.0606060606060606
6300-6399,-3.0707070707070705
6400-6499,-3.0505050505050506
6500-6599,-3.0303030303030303
6600-6699,-3.0303030303030303
6700-6799,-3.0202020202020203
6800-6899,-3.080808080808081
6900-6999,-3.04040404040404
7000-7099,-3.04040404040404
7100-7199,-3.101010101010101
7200-7299,-3.080808080808081
7300-7399,-3.0505050505050506
7400-7499,-3.0303030303030303
7500-7599,-3.0707070707070705
7600-7699,-3.0505050505050506
7700-7799,-3.04040404040404
7800-7899,-3.0202020202020203
7900-7999,-3.0303030303030303
8000-8099,-3.0202020202020203
8100-8199,-3.0505050505050506
8200-8299,-3.04040404040404
8300-8399,-3.04040404040404
8400-8499,-3.04040404040404
8500-8599,-3.0202020202020203
8600-8699,-3.090909090909091
8700-8799,-3.01010101010101
8800-8899,-3.0202020202020203
8900-8999,-3.04040404040404
9000-9099,-3.0303030303030303
9100-9199,-3.0202020202020203
9200-9299,-3.090909090909091
9300-9399,-3.0303030303030303
9400-9499,-3.0505050505050506
9500-9599,-3.090909090909091
9600-9699,-3.0303030303030303
9700-9799,-3.0
9800-9899,-3.0707070707070705
9900-9999,-3.04040404040404
