Episode,Reward
0-99,-17.31313131313131
100-199,-6.0
200-299,-4.171717171717172
300-399,-3.595959595959596
400-499,-3.4444444444444446
500-599,-3.1414141414141414
600-699,-3.1313131313131315
700-799,-3.0
800-899,-3.0505050505050506
900-999,-3.0303030303030303
1000-1099,-3.0707070707070705
1100-1199,-3.04040404040404
1200-1299,-3.0202020202020203
1300-1399,-3.0202020202020203
1400-1499,-3.0202020202020203
1500-1599,-3.0202020202020203
1600-1699,-3.04040404040404
1700-1799,-3.0707070707070705
1800-1899,-3.0606060606060606
1900-1999,-3.0
2000-2099,-3.0606060606060606
2100-2199,-3.0
2200-2299,-3.0606060606060606
2300-2399,-3.0
2400-2499,-3.0505050505050506
2500-2599,-3.080808080808081
2600-2699,-3.0707070707070705
2700-2799,-3.04040404040404
2800-2899,-3.0606060606060606
2900-2999,-3.04040404040404
3000-3099,-3.0202020202020203
3100-3199,-3.01010101010101
3200-3299,-3.0202020202020203
3300-3399,-3.01010101010101
3400-3499,-3.0303030303030303
3500-3599,-3.080808080808081
3600-3699,-3.0606060606060606
3700-3799,-3.0303030303030303
3800-3899,-3.0202020202020203
3900-3999,-3.0303030303030303
4000-4099,-3.080808080808081
4100-4199,-3.0707070707070705
4200-4299,-3.0606060606060606
4300-4399,-3.0606060606060606
4400-4499,-3.0303030303030303
4500-4599,-3.04040404040404
4600-4699,-3.0303030303030303
4700-4799,-3.0606060606060606
4800-4899,-3.01010101010101
4900-4999,-3.0
5000-5099,-3.01010101010101
5100-5199,-3.04040404040404
5200-5299,-3.0202020202020203
5300-5399,-3.0606060606060606
5400-5499,-3.0505050505050506
5500-5599,-3.04040404040404
5600-5699,-3.0202020202020203
5700-5799,-3.0303030303030303
5800-5899,-3.0606060606060606
5900-5999,-3.0303030303030303
6000-6099,-3.0606060606060606
6100-6199,-3.0606060606060606
6200-6299,-3.0606060606060606
6300-6399,-3.01010101010101
6400-6499,-3.0202020202020203
6500-6599,-3.0606060606060606
6600-6699,-3.01010101010101
6700-6799,-3.0202020202020203
6800-6899,-3.0
6900-6999,-3.0707070707070705
7000-7099,-3.0303030303030303
7100-7199,-3.0505050505050506
7200-7299,-3.0303030303030303
7300-7399,-3.0505050505050506
7400-7499,-3.04040404040404
7500-7599,-3.04040404040404
7600-7699,-3.0505050505050506
7700-7799,-3.0202020202020203
7800-7899,-3.04040404040404
7900-7999,-3.0505050505050506
8000-8099,-3.0505050505050506
8100-8199,-3.04040404040404
8200-8299,-3.0202020202020203
8300-8399,-3.0707070707070705
8400-8499,-3.0505050505050506
8500-8599,-3.0303030303030303
8600-8699,-3.0505050505050506
8700-8799,-3.0707070707070705
8800-8899,-3.04040404040404
8900-8999,-3.01010101010101
9000-9099,-3.0606060606060606
9100-9199,-3.0303030303030303
9200-9299,-3.0505050505050506
9300-9399,-3.01010101010101
9400-9499,-3.0707070707070705
9500-9599,-3.0202020202020203
9600-9699,-3.0303030303030303
9700-9799,-3.0505050505050506
9800-9899,-3.0202020202020203
9900-9999,-3.0
