Episode,Reward
0-99,-31.626262626262626
100-199,-19.67676767676768
200-299,-14.11111111111111
300-399,-11.595959595959595
400-499,-9.202020202020202
500-599,-7.474747474747475
600-699,-6.656565656565657
700-799,-6.747474747474747
800-899,-6.040404040404041
900-999,-6.01010101010101
1000-1099,-5.252525252525253
1100-1199,-4.797979797979798
1200-1299,-4.656565656565657
1300-1399,-4.515151515151516
1400-1499,-4.101010101010101
1500-1599,-4.02020202020202
1600-1699,-3.8686868686868685
1700-1799,-4.0
1800-1899,-3.8686868686868685
1900-1999,-3.6161616161616164
2000-2099,-3.717171717171717
2100-2199,-3.6161616161616164
2200-2299,-3.484848484848485
2300-2399,-3.323232323232323
2400-2499,-3.4444444444444446
2500-2599,-3.212121212121212
2600-2699,-3.303030303030303
2700-2799,-3.3636363636363638
2800-2899,-3.3636363636363638
2900-2999,-3.121212121212121
3000-3099,-3.111111111111111
3100-3199,-3.2525252525252526
3200-3299,-3.1414141414141414
3300-3399,-3.101010101010101
3400-3499,-3.1515151515151514
3500-3599,-3.101010101010101
3600-3699,-3.1515151515151514
3700-3799,-3.101010101010101
3800-3899,-3.111111111111111
3900-3999,-3.090909090909091
4000-4099,-3.090909090909091
4100-4199,-3.0303030303030303
4200-4299,-3.0606060606060606
4300-4399,-3.04040404040404
4400-4499,-3.0303030303030303
4500-4599,-3.04040404040404
4600-4699,-3.04040404040404
4700-4799,-3.0
4800-4899,-3.0
4900-4999,-3.0202020202020203
5000-5099,-3.0303030303030303
5100-5199,-3.0303030303030303
5200-5299,-3.04040404040404
5300-5399,-3.0303030303030303
5400-5499,-3.0303030303030303
5500-5599,-3.0606060606060606
5600-5699,-3.0
5700-5799,-3.080808080808081
5800-5899,-3.0606060606060606
5900-5999,-3.01010101010101
6000-6099,-3.0
6100-6199,-3.0606060606060606
6200-6299,-3.01010101010101
6300-6399,-3.01010101010101
6400-6499,-3.0202020202020203
6500-6599,-3.0707070707070705
6600-6699,-3.0505050505050506
6700-6799,-3.0303030303030303
6800-6899,-3.0505050505050506
6900-6999,-3.0707070707070705
7000-7099,-3.080808080808081
7100-7199,-3.0505050505050506
7200-7299,-3.01010101010101
7300-7399,-3.0
7400-7499,-3.0202020202020203
7500-7599,-3.01010101010101
7600-7699,-3.0505050505050506
7700-7799,-3.0606060606060606
7800-7899,-3.01010101010101
7900-7999,-3.080808080808081
8000-8099,-3.0303030303030303
8100-8199,-3.0303030303030303
8200-8299,-3.0707070707070705
8300-8399,-3.0202020202020203
8400-8499,-3.0505050505050506
8500-8599,-3.0505050505050506
8600-8699,-3.0202020202020203
8700-8799,-3.0707070707070705
8800-8899,-3.04040404040404
8900-8999,-3.0
9000-9099,-3.01010101010101
9100-9199,-3.0
9200-9299,-3.01010101010101
9300-9399,-3.0505050505050506
9400-9499,-3.01010101010101
9500-9599,-3.0606060606060606
9600-9699,-3.0505050505050506
9700-9799,-3.080808080808081
9800-9899,-3.0505050505050506
9900-9999,-3.04040404040404
