Episode,Reward
0-99,-59.101010101010104
100-199,-50.525252525252526
200-299,-49.666666666666664
300-399,-46.535353535353536
400-499,-49.75757575757576
500-599,-48.27272727272727
600-699,-41.42424242424242
700-799,-40.64646464646464
800-899,-36.09090909090909
900-999,-35.61616161616162
1000-1099,-32.39393939393939
1100-1199,-30.616161616161616
1200-1299,-27.77777777777778
1300-1399,-26.545454545454547
1400-1499,-25.414141414141415
1500-1599,-23.08080808080808
1600-1699,-20.595959595959595
1700-1799,-18.08080808080808
1800-1899,-15.767676767676768
1900-1999,-13.282828282828282
2000-2099,-10.787878787878787
2100-2199,-8.282828282828282
2200-2299,-9.434343434343434
2300-2399,-5.797979797979798
2400-2499,-6.777777777777778
2500-2599,-4.505050505050505
2600-2699,-6.555555555555555
2700-2799,-4.343434343434343
2800-2899,-5.353535353535354
2900-2999,-4.3232323232323235
3000-3099,-5.151515151515151
3100-3199,-4.474747474747475
3200-3299,-4.111111111111111
3300-3399,-5.252525252525253
3400-3499,-4.191919191919192
3500-3599,-5.111111111111111
3600-3699,-5.171717171717172
3700-3799,-4.171717171717172
3800-3899,-4.040404040404041
3900-3999,-4.101010101010101
4000-4099,-4.252525252525253
4100-4199,-4.111111111111111
4200-4299,-4.040404040404041
4300-4399,-4.03030303030303
4400-4499,-5.191919191919192
4500-4599,-5.101010101010101
4600-4699,-4.1313131313131315
4700-4799,-4.151515151515151
4800-4899,-4.05050505050505
4900-4999,-4.03030303030303
5000-5099,-4.05050505050505
5100-5199,-5.151515151515151
5200-5299,-4.0606060606060606
5300-5399,-4.222222222222222
5400-5499,-4.98989898989899
5500-5599,-4.03030303030303
5600-5699,-4.262626262626263
5700-5799,-4.111111111111111
5800-5899,-4.040404040404041
5900-5999,-4.111111111111111
6000-6099,-4.98989898989899
6100-6199,-4.0606060606060606
6200-6299,-4.090909090909091
6300-6399,-4.0
6400-6499,-4.05050505050505
6500-6599,-4.121212121212121
6600-6699,-4.040404040404041
6700-6799,-4.0606060606060606
6800-6899,-4.03030303030303
6900-6999,-4.040404040404041
7000-7099,-4.101010101010101
7100-7199,-4.03030303030303
7200-7299,-4.03030303030303
7300-7399,-4.03030303030303
7400-7499,-4.08080808080808
7500-7599,-4.191919191919192
7600-7699,-4.0
7700-7799,-5.08080808080808
7800-7899,-4.05050505050505
7900-7999,-4.0606060606060606
8000-8099,-4.0606060606060606
8100-8199,-4.040404040404041
8200-8299,-5.01010101010101
8300-8399,-4.040404040404041
8400-8499,-4.0606060606060606
8500-8599,-4.191919191919192
8600-8699,-4.101010101010101
8700-8799,-4.121212121212121
8800-8899,-4.111111111111111
8900-8999,-4.0
9000-9099,-4.02020202020202
9100-9199,-5.303030303030303
9200-9299,-4.040404040404041
9300-9399,-4.0606060606060606
9400-9499,-4.070707070707071
9500-9599,-4.0606060606060606
9600-9699,-4.03030303030303
9700-9799,-5.0606060606060606
9800-9899,-4.1313131313131315
9900-9999,-4.03030303030303
