Episode,Reward
0-99,-60.43434343434343
100-199,-51.333333333333336
200-299,-38.343434343434346
300-399,-21.939393939393938
400-499,-15.707070707070708
500-599,-12.919191919191919
600-699,-10.737373737373737
700-799,-11.080808080808081
800-899,-8.757575757575758
900-999,-7.282828282828283
1000-1099,-6.636363636363637
1100-1199,-6.828282828282828
1200-1299,-5.5353535353535355
1300-1399,-5.606060606060606
1400-1499,-5.626262626262626
1500-1599,-5.303030303030303
1600-1699,-4.9393939393939394
1700-1799,-4.898989898989899
1800-1899,-6.03030303030303
1900-1999,-4.98989898989899
2000-2099,-4.787878787878788
2100-2199,-4.393939393939394
2200-2299,-4.505050505050505
2300-2399,-4.515151515151516
2400-2499,-4.373737373737374
2500-2599,-4.393939393939394
2600-2699,-4.313131313131313
2700-2799,-4.424242424242424
2800-2899,-4.353535353535354
2900-2999,-4.292929292929293
3000-3099,-4.252525252525253
3100-3199,-4.262626262626263
3200-3299,-4.232323232323233
3300-3399,-4.090909090909091
3400-3499,-4.171717171717172
3500-3599,-4.090909090909091
3600-3699,-4.151515151515151
3700-3799,-4.1313131313131315
3800-3899,-4.161616161616162
3900-3999,-4.03030303030303
4000-4099,-4.070707070707071
4100-4199,-4.070707070707071
4200-4299,-4.101010101010101
4300-4399,-4.03030303030303
4400-4499,-4.121212121212121
4500-4599,-4.070707070707071
4600-4699,-4.111111111111111
4700-4799,-4.05050505050505
4800-4899,-4.0606060606060606
4900-4999,-4.08080808080808
5000-5099,-4.040404040404041
5100-5199,-4.05050505050505
5200-5299,-4.040404040404041
5300-5399,-4.090909090909091
5400-5499,-4.05050505050505
5500-5599,-4.0
5600-5699,-4.02020202020202
5700-5799,-4.090909090909091
5800-5899,-4.08080808080808
5900-5999,-4.03030303030303
6000-6099,-4.0606060606060606
6100-6199,-4.090909090909091
6200-6299,-4.121212121212121
6300-6399,-4.0606060606060606
6400-6499,-4.0606060606060606
6500-6599,-4.090909090909091
6600-6699,-4.0606060606060606
6700-6799,-4.03030303030303
6800-6899,-4.040404040404041
6900-6999,-4.03030303030303
7000-7099,-4.02020202020202
7100-7199,-4.0606060606060606
7200-7299,-4.040404040404041
7300-7399,-4.070707070707071
7400-7499,-4.05050505050505
7500-7599,-4.090909090909091
7600-7699,-4.02020202020202
7700-7799,-4.08080808080808
7800-7899,-4.05050505050505
7900-7999,-4.05050505050505
8000-8099,-4.01010101010101
8100-8199,-4.05050505050505
8200-8299,-4.111111111111111
8300-8399,-4.01010101010101
8400-8499,-4.0606060606060606
8500-8599,-4.03030303030303
8600-8699,-4.101010101010101
8700-8799,-4.03030303030303
8800-8899,-4.0606060606060606
8900-8999,-4.040404040404041
9000-9099,-4.05050505050505
9100-9199,-4.0606060606060606
9200-9299,-4.01010101010101
9300-9399,-4.03030303030303
9400-9499,-4.0
9500-9599,-4.03030303030303
9600-9699,-4.040404040404041
9700-9799,-4.070707070707071
9800-9899,-4.08080808080808
9900-9999,-4.01010101010101
