Episode,Reward
0-99,-33.45454545454545
100-199,-19.373737373737374
200-299,-14.93939393939394
300-399,-13.767676767676768
400-499,-10.808080808080808
500-599,-9.353535353535353
600-699,-7.7272727272727275
700-799,-7.3232323232323235
800-899,-7.292929292929293
900-999,-6.555555555555555
1000-1099,-5.666666666666667
1100-1199,-4.96969696969697
1200-1299,-5.101010101010101
1300-1399,-4.838383838383838
1400-1499,-4.434343434343434
1500-1599,-4.373737373737374
1600-1699,-3.95959595959596
1700-1799,-4.636363636363637
1800-1899,-3.8282828282828283
1900-1999,-4.2727272727272725
2000-2099,-3.808080808080808
2100-2199,-3.6464646464646466
2200-2299,-3.8181818181818183
2300-2399,-3.757575757575758
2400-2499,-3.4545454545454546
2500-2599,-3.5353535353535355
2600-2699,-3.292929292929293
2700-2799,-3.414141414141414
2800-2899,-3.2525252525252526
2900-2999,-3.212121212121212
3000-3099,-3.4242424242424243
3100-3199,-3.3333333333333335
3200-3299,-3.242424242424242
3300-3399,-3.2222222222222223
3400-3499,-3.3333333333333335
3500-3599,-3.1818181818181817
3600-3699,-3.0707070707070705
3700-3799,-3.111111111111111
3800-3899,-3.090909090909091
3900-3999,-3.5353535353535355
4000-4099,-3.101010101010101
4100-4199,-3.0505050505050506
4200-4299,-3.313131313131313
4300-4399,-3.4444444444444446
4400-4499,-3.111111111111111
4500-4599,-3.04040404040404
4600-4699,-3.080808080808081
4700-4799,-3.0505050505050506
4800-4899,-3.0303030303030303
4900-4999,-3.0606060606060606
5000-5099,-3.01010101010101
5100-5199,-3.0303030303030303
5200-5299,-3.0
5300-5399,-3.686868686868687
5400-5499,-3.01010101010101
5500-5599,-3.0
5600-5699,-3.0707070707070705
5700-5799,-3.0
5800-5899,-3.04040404040404
5900-5999,-3.101010101010101
6000-6099,-3.2525252525252526
6100-6199,-3.3737373737373737
6200-6299,-3.0707070707070705
6300-6399,-3.0202020202020203
6400-6499,-3.0505050505050506
6500-6599,-3.0303030303030303
6600-6699,-3.0202020202020203
6700-6799,-3.0202020202020203
6800-6899,-3.04040404040404
6900-6999,-3.01010101010101
7000-7099,-3.0707070707070705
7100-7199,-3.0606060606060606
7200-7299,-3.04040404040404
7300-7399,-3.0707070707070705
7400-7499,-3.0505050505050506
7500-7599,-3.0
7600-7699,-3.2323232323232323
7700-7799,-3.0505050505050506
7800-7899,-3.0505050505050506
7900-7999,-3.0202020202020203
8000-8099,-3.0505050505050506
8100-8199,-3.414141414141414
8200-8299,-3.04040404040404
8300-8399,-3.0303030303030303
8400-8499,-3.0303030303030303
8500-8599,-3.7777777777777777
8600-8699,-3.1414141414141414
8700-8799,-3.0202020202020203
8800-8899,-3.0
8900-8999,-3.080808080808081
9000-9099,-3.323232323232323
9100-9199,-4.01010101010101
9200-9299,-3.474747474747475
9300-9399,-3.0303030303030303
9400-9499,-3.0202020202020203
9500-9599,-3.1717171717171717
9600-9699,-3.1313131313131315
9700-9799,-3.0505050505050506
9800-9899,-3.0606060606060606
9900-9999,-3.04040404040404
