Episode,Reward
0-99,-19.92929292929293
100-199,-6.090909090909091
200-299,-4.292929292929293
300-399,-3.595959595959596
400-499,-3.2222222222222223
500-599,-3.101010101010101
600-699,-3.1616161616161618
700-799,-3.090909090909091
800-899,-3.0202020202020203
900-999,-3.0
1000-1099,-3.04040404040404
1100-1199,-3.0606060606060606
1200-1299,-3.0505050505050506
1300-1399,-3.0707070707070705
1400-1499,-3.080808080808081
1500-1599,-3.04040404040404
1600-1699,-3.090909090909091
1700-1799,-3.04040404040404
1800-1899,-3.0303030303030303
1900-1999,-3.0707070707070705
2000-2099,-3.0707070707070705
2100-2199,-3.080808080808081
2200-2299,-3.080808080808081
2300-2399,-3.0202020202020203
2400-2499,-3.0
2500-2599,-3.0202020202020203
2600-2699,-3.111111111111111
2700-2799,-3.0202020202020203
2800-2899,-3.0202020202020203
2900-2999,-3.04040404040404
3000-3099,-3.0303030303030303
3100-3199,-3.0505050505050506
3200-3299,-3.01010101010101
3300-3399,-3.0303030303030303
3400-3499,-3.04040404040404
3500-3599,-3.0303030303030303
3600-3699,-3.01010101010101
3700-3799,-3.0202020202020203
3800-3899,-3.0303030303030303
3900-3999,-3.0606060606060606
4000-4099,-3.0505050505050506
4100-4199,-3.090909090909091
4200-4299,-3.0202020202020203
4300-4399,-3.0202020202020203
4400-4499,-3.04040404040404
4500-4599,-3.101010101010101
4600-4699,-3.01010101010101
4700-4799,-3.0202020202020203
4800-4899,-3.0606060606060606
4900-4999,-3.0
5000-5099,-3.0
5100-5199,-3.0303030303030303
5200-5299,-3.0606060606060606
5300-5399,-3.0202020202020203
5400-5499,-3.01010101010101
5500-5599,-3.0707070707070705
5600-5699,-3.0303030303030303
5700-5799,-3.080808080808081
5800-5899,-3.04040404040404
5900-5999,-3.0303030303030303
6000-6099,-3.0202020202020203
6100-6199,-3.04040404040404
6200-6299,-3.01010101010101
6300-6399,-3.111111111111111
6400-6499,-3.01010101010101
6500-6599,-3.0202020202020203
6600-6699,-3.0303030303030303
6700-6799,-3.0202020202020203
6800-6899,-3.0707070707070705
6900-6999,-3.0
7000-7099,-3.0707070707070705
7100-7199,-3.01010101010101
7200-7299,-3.04040404040404
7300-7399,-3.01010101010101
7400-7499,-3.0202020202020203
7500-7599,-3.04040404040404
7600-7699,-3.0
7700-7799,-3.0707070707070705
7800-7899,-3.0
7900-7999,-3.0505050505050506
8000-8099,-3.0303030303030303
8100-8199,-3.090909090909091
8200-8299,-3.0303030303030303
8300-8399,-3.0505050505050506
8400-8499,-3.0202020202020203
8500-8599,-3.0202020202020203
8600-8699,-3.0202020202020203
8700-8799,-3.04040404040404
8800-8899,-3.0202020202020203
8900-8999,-3.0
9000-9099,-3.0606060606060606
9100-9199,-3.0505050505050506
9200-9299,-3.0202020202020203
9300-9399,-3.0606060606060606
9400-9499,-3.0606060606060606
9500-9599,-3.0505050505050506
9600-9699,-3.01010101010101
9700-9799,-3.0505050505050506
9800-9899,-3.0707070707070705
9900-9999,-3.0202020202020203
