Episode,Reward
0-99,-32.111111111111114
100-199,-21.848484848484848
200-299,-17.393939393939394
300-399,-17.68686868686869
400-499,-13.484848484848484
500-599,-12.393939393939394
600-699,-11.303030303030303
700-799,-9.0
800-899,-8.303030303030303
900-999,-6.191919191919192
1000-1099,-5.212121212121212
1100-1199,-5.242424242424242
1200-1299,-4.575757575757576
1300-1399,-4.505050505050505
1400-1499,-4.545454545454546
1500-1599,-4.232323232323233
1600-1699,-3.909090909090909
1700-1799,-3.7373737373737375
1800-1899,-3.797979797979798
1900-1999,-3.5454545454545454
2000-2099,-3.494949494949495
2100-2199,-3.505050505050505
2200-2299,-3.3838383838383836
2300-2399,-3.3838383838383836
2400-2499,-3.404040404040404
2500-2599,-3.303030303030303
2600-2699,-3.3333333333333335
2700-2799,-3.282828282828283
2800-2899,-3.1818181818181817
2900-2999,-3.202020202020202
3000-3099,-3.111111111111111
3100-3199,-3.1313131313131315
3200-3299,-3.242424242424242
3300-3399,-3.101010101010101
3400-3499,-3.111111111111111
3500-3599,-3.090909090909091
3600-3699,-3.1414141414141414
3700-3799,-3.1717171717171717
3800-3899,-3.0606060606060606
3900-3999,-3.101010101010101
4000-4099,-3.0303030303030303
4100-4199,-3.090909090909091
4200-4299,-3.080808080808081
4300-4399,-3.0303030303030303
4400-4499,-3.0505050505050506
4500-4599,-3.0606060606060606
4600-4699,-3.04040404040404
4700-4799,-3.0606060606060606
4800-4899,-3.0202020202020203
4900-4999,-3.0202020202020203
5000-5099,-3.0606060606060606
5100-5199,-3.04040404040404
5200-5299,-3.0
5300-5399,-3.0303030303030303
5400-5499,-3.0606060606060606
5500-5599,-3.04040404040404
5600-5699,-3.0505050505050506
5700-5799,-3.0707070707070705
5800-5899,-3.0505050505050506
5900-5999,-3.090909090909091
6000-6099,-3.0202020202020203
6100-6199,-3.04040404040404
6200-6299,-3.0505050505050506
6300-6399,-3.0202020202020203
6400-6499,-3.0303030303030303
6500-6599,-3.0606060606060606
6600-6699,-3.0606060606060606
6700-6799,-3.0505050505050506
6800-6899,-3.0606060606060606
6900-6999,-3.0202020202020203
7000-7099,-3.01010101010101
7100-7199,-3.0707070707070705
7200-7299,-3.0
7300-7399,-3.0606060606060606
7400-7499,-3.0
7500-7599,-3.0303030303030303
7600-7699,-3.0505050505050506
7700-7799,-3.0202020202020203
7800-7899,-3.0202020202020203
7900-7999,-3.0303030303030303
8000-8099,-3.0202020202020203
8100-8199,-3.01010101010101
8200-8299,-3.0707070707070705
8300-8399,-3.0202020202020203
8400-8499,-3.090909090909091
8500-8599,-3.0303030303030303
8600-8699,-3.080808080808081
8700-8799,-3.0303030303030303
8800-8899,-3.0707070707070705
8900-8999,-3.0505050505050506
9000-9099,-3.0707070707070705
9100-9199,-3.0505050505050506
9200-9299,-3.0505050505050506
9300-9399,-3.04040404040404
9400-9499,-3.0303030303030303
9500-9599,-3.0707070707070705
9600-9699,-3.0202020202020203
9700-9799,-3.0303030303030303
9800-9899,-3.01010101010101
9900-9999,-3.04040404040404
