Episode,Reward
0-99,-36.17171717171717
100-199,-24.86868686868687
200-299,-14.505050505050505
300-399,-11.97979797979798
400-499,-9.494949494949495
500-599,-7.858585858585859
600-699,-7.292929292929293
700-799,-6.191919191919192
800-899,-5.424242424242424
900-999,-5.484848484848484
1000-1099,-5.212121212121212
1100-1199,-5.0
1200-1299,-4.818181818181818
1300-1399,-4.525252525252525
1400-1499,-4.212121212121212
1500-1599,-3.9797979797979797
1600-1699,-4.05050505050505
1700-1799,-3.909090909090909
1800-1899,-3.787878787878788
1900-1999,-3.6666666666666665
2000-2099,-3.484848484848485
2100-2199,-3.505050505050505
2200-2299,-3.525252525252525
2300-2399,-3.404040404040404
2400-2499,-3.4343434343434343
2500-2599,-3.282828282828283
2600-2699,-3.292929292929293
2700-2799,-3.242424242424242
2800-2899,-3.191919191919192
2900-2999,-3.1313131313131315
3000-3099,-3.0707070707070705
3100-3199,-3.0707070707070705
3200-3299,-3.191919191919192
3300-3399,-3.1414141414141414
3400-3499,-3.111111111111111
3500-3599,-3.111111111111111
3600-3699,-3.282828282828283
3700-3799,-3.0606060606060606
3800-3899,-3.0
3900-3999,-3.0606060606060606
4000-4099,-3.0606060606060606
4100-4199,-3.0606060606060606
4200-4299,-3.0707070707070705
4300-4399,-3.0707070707070705
4400-4499,-3.0505050505050506
4500-4599,-3.0707070707070705
4600-4699,-3.0303030303030303
4700-4799,-3.090909090909091
4800-4899,-3.04040404040404
4900-4999,-3.0202020202020203
5000-5099,-3.0707070707070705
5100-5199,-3.0505050505050506
5200-5299,-3.0303030303030303
5300-5399,-3.0303030303030303
5400-5499,-3.01010101010101
5500-5599,-3.0505050505050506
5600-5699,-3.04040404040404
5700-5799,-3.101010101010101
5800-5899,-3.0
5900-5999,-3.080808080808081
6000-6099,-3.01010101010101
6100-6199,-3.01010101010101
6200-6299,-3.0606060606060606
6300-6399,-3.01010101010101
6400-6499,-3.01010101010101
6500-6599,-3.01010101010101
6600-6699,-3.0
6700-6799,-3.04040404040404
6800-6899,-3.0303030303030303
6900-6999,-3.0303030303030303
7000-7099,-3.01010101010101
7100-7199,-3.090909090909091
7200-7299,-3.0202020202020203
7300-7399,-3.0303030303030303
7400-7499,-3.04040404040404
7500-7599,-3.01010101010101
7600-7699,-3.0202020202020203
7700-7799,-3.04040404040404
7800-7899,-3.04040404040404
7900-7999,-3.01010101010101
8000-8099,-3.0303030303030303
8100-8199,-3.0606060606060606
8200-8299,-3.0303030303030303
8300-8399,-3.0303030303030303
8400-8499,-3.0606060606060606
8500-8599,-3.0303030303030303
8600-8699,-3.090909090909091
8700-8799,-3.090909090909091
8800-8899,-3.0202020202020203
8900-8999,-3.0303030303030303
9000-9099,-3.0202020202020203
9100-9199,-3.0202020202020203
9200-9299,-3.0606060606060606
9300-9399,-3.0202020202020203
9400-9499,-3.04040404040404
9500-9599,-3.0707070707070705
9600-9699,-3.04040404040404
9700-9799,-3.01010101010101
9800-9899,-3.080808080808081
9900-9999,-3.0303030303030303
