Episode,Reward
0-99,-57.313131313131315
100-199,-54.323232323232325
200-299,-50.91919191919192
300-399,-43.696969696969695
400-499,-33.16161616161616
500-599,-23.12121212121212
600-699,-12.626262626262626
700-799,-10.545454545454545
800-899,-7.767676767676767
900-999,-6.666666666666667
1000-1099,-7.08080808080808
1100-1199,-7.333333333333333
1200-1299,-6.787878787878788
1300-1399,-6.090909090909091
1400-1499,-5.575757575757576
1500-1599,-5.565656565656566
1600-1699,-5.353535353535354
1700-1799,-4.777777777777778
1800-1899,-4.838383838383838
1900-1999,-4.737373737373737
2000-2099,-4.696969696969697
2100-2199,-4.888888888888889
2200-2299,-4.767676767676767
2300-2399,-4.474747474747475
2400-2499,-4.4646464646464645
2500-2599,-4.393939393939394
2600-2699,-4.242424242424242
2700-2799,-4.292929292929293
2800-2899,-4.363636363636363
2900-2999,-4.343434343434343
3000-3099,-4.181818181818182
3100-3199,-4.262626262626263
3200-3299,-4.202020202020202
3300-3399,-4.212121212121212
3400-3499,-4.191919191919192
3500-3599,-4.111111111111111
3600-3699,-4.101010101010101
3700-3799,-4.151515151515151
3800-3899,-4.070707070707071
3900-3999,-4.141414141414141
4000-4099,-4.111111111111111
4100-4199,-4.0606060606060606
4200-4299,-4.08080808080808
4300-4399,-4.101010101010101
4400-4499,-4.05050505050505
4500-4599,-4.08080808080808
4600-4699,-4.02020202020202
4700-4799,-4.03030303030303
4800-4899,-4.101010101010101
4900-4999,-4.040404040404041
5000-5099,-4.040404040404041
5100-5199,-4.03030303030303
5200-5299,-4.101010101010101
5300-5399,-4.05050505050505
5400-5499,-4.040404040404041
5500-5599,-4.05050505050505
5600-5699,-4.0606060606060606
5700-5799,-4.040404040404041
5800-5899,-4.0
5900-5999,-4.02020202020202
6000-6099,-4.02020202020202
6100-6199,-4.02020202020202
6200-6299,-4.0
6300-6399,-4.040404040404041
6400-6499,-4.0606060606060606
6500-6599,-4.03030303030303
6600-6699,-4.101010101010101
6700-6799,-4.0606060606060606
6800-6899,-4.08080808080808
6900-6999,-4.040404040404041
7000-7099,-4.090909090909091
7100-7199,-4.040404040404041
7200-7299,-4.070707070707071
7300-7399,-4.090909090909091
7400-7499,-4.0606060606060606
7500-7599,-4.01010101010101
7600-7699,-4.090909090909091
7700-7799,-4.0606060606060606
7800-7899,-4.040404040404041
7900-7999,-4.03030303030303
8000-8099,-4.070707070707071
8100-8199,-4.02020202020202
8200-8299,-4.01010101010101
8300-8399,-4.040404040404041
8400-8499,-4.05050505050505
8500-8599,-4.05050505050505
8600-8699,-4.040404040404041
8700-8799,-4.02020202020202
8800-8899,-4.02020202020202
8900-8999,-4.161616161616162
9000-9099,-4.040404040404041
9100-9199,-4.090909090909091
9200-9299,-4.0
9300-9399,-4.040404040404041
9400-9499,-4.05050505050505
9500-9599,-4.111111111111111
9600-9699,-4.070707070707071
9700-9799,-4.070707070707071
9800-9899,-4.03030303030303
9900-9999,-4.0606060606060606
