Episode,Reward
0-99,-95.15151515151516
100-199,-92.13131313131314
200-299,-80.07070707070707
300-399,-63.38383838383838
400-499,-47.4040404040404
500-599,-35.56565656565657
600-699,-31.767676767676768
700-799,-23.737373737373737
800-899,-23.606060606060606
900-999,-20.86868686868687
1000-1099,-19.353535353535353
1100-1199,-17.656565656565657
1200-1299,-17.757575757575758
1300-1399,-15.595959595959595
1400-1499,-15.83838383838384
1500-1599,-14.01010101010101
1600-1699,-14.464646464646465
1700-1799,-13.94949494949495
1800-1899,-13.606060606060606
1900-1999,-13.353535353535353
2000-2099,-13.393939393939394
2100-2199,-12.474747474747474
2200-2299,-12.858585858585858
2300-2399,-12.16161616161616
2400-2499,-12.323232323232324
2500-2599,-12.272727272727273
2600-2699,-12.02020202020202
2700-2799,-11.83838383838384
2800-2899,-11.868686868686869
2900-2999,-11.616161616161616
3000-3099,-11.525252525252526
3100-3199,-11.646464646464647
3200-3299,-11.727272727272727
3300-3399,-11.393939393939394
3400-3499,-11.444444444444445
3500-3599,-11.303030303030303
3600-3699,-11.282828282828282
3700-3799,-11.252525252525253
3800-3899,-11.272727272727273
3900-3999,-11.383838383838384
4000-4099,-11.262626262626263
4100-4199,-11.121212121212121
4200-4299,-11.181818181818182
4300-4399,-11.303030303030303
4400-4499,-11.11111111111111
4500-4599,-11.090909090909092
4600-4699,-11.242424242424242
4700-4799,-11.02020202020202
4800-4899,-11.121212121212121
4900-4999,-11.141414141414142
5000-5099,-11.02020202020202
5100-5199,-11.1010101010101
5200-5299,-11.16161616161616
5300-5399,-11.11111111111111
5400-5499,-11.121212121212121
5500-5599,-11.141414141414142
5600-5699,-11.11111111111111
5700-5799,-11.131313131313131
5800-5899,-11.11111111111111
5900-5999,-11.191919191919192
6000-6099,-11.080808080808081
6100-6199,-11.212121212121213
6200-6299,-11.151515151515152
6300-6399,-11.11111111111111
6400-6499,-11.131313131313131
6500-6599,-11.131313131313131
6600-6699,-11.121212121212121
6700-6799,-11.16161616161616
6800-6899,-11.151515151515152
6900-6999,-11.151515151515152
7000-7099,-11.11111111111111
7100-7199,-11.06060606060606
7200-7299,-11.131313131313131
7300-7399,-11.1010101010101
7400-7499,-11.11111111111111
7500-7599,-11.090909090909092
7600-7699,-11.080808080808081
7700-7799,-11.151515151515152
7800-7899,-11.303030303030303
7900-7999,-11.080808080808081
8000-8099,-11.090909090909092
8100-8199,-11.121212121212121
8200-8299,-11.080808080808081
8300-8399,-11.11111111111111
8400-8499,-11.171717171717171
8500-8599,-11.11111111111111
8600-8699,-11.090909090909092
8700-8799,-11.080808080808081
8800-8899,-11.141414141414142
8900-8999,-11.11111111111111
9000-9099,-11.151515151515152
9100-9199,-11.090909090909092
9200-9299,-11.080808080808081
9300-9399,-11.141414141414142
9400-9499,-11.171717171717171
9500-9599,-11.131313131313131
9600-9699,-11.16161616161616
9700-9799,-11.04040404040404
9800-9899,-11.141414141414142
9900-9999,-11.131313131313131
